word,sentiment
ryhtiliikeviisas,1
kauneimpiin,1
paskantelee,-1
kauhistusen,-1
väkivaltaista,-1
hyväksikäytetyt,-2
kauneimmasta,1
vastaavasssa,1
suurilevikkinen,1
mielenkiinnollla,1
hiiskadakaan,1
vihannalle,-1
kaikkeapahaa,1
sukksnauhaliiveistä,1
huulilaan,1
satumainennainen,1
viilisniilis,1
myyantaa,1
muukalainenuusi,1
hyväkasyy,1
tähänsaakka,1
orjuuttaayritys,-3
pahamieli,-1
pedofiilisellä,-4
oletettaavaakin,1
vittaa,1
lopahtaaa,1
laadukaat,1
vdcpaska,-1
kalliimmmaksi,1
rehellisiiiiii,1
pilkkutarkka,1
postilaatikkoo,1
kauheaouto,-1
harmittaabullman,-1
hienoaa,1
kaipaaa,1
viisaampiki,1
käntyykkä,1
pussss,1
irtaallaan,1
hyväksikäytetylle,-2
liikuntakyvyttömii,1
mukaanupeaa,1
itsemurhariski,-3
suurempaa,1
valittaamaan,1
super tuottava,1
pahapoika,-1
kokkoo,1
biisiiä,1
kaunihimpihei,1
laitointa,-1
maaninenuusi,1
typerät,-1
erinomaisuuttaa,1
herkutellapäivä,1
erinnomainen,1
paskaruskea,-1
paskaroisto,-1
rakasunut,2
vastasiöyyhhh,1
joukkotilauusi,1
vittunääs,-3
laajenpaa,1
plastiikkakirurginen,1
yskiätekniikka,1
paskalaatuinen,-1
suuntaankyll,1
rauhaanpakottaminenoffensiivi,2
kuusenhakiaa,-2
maaa,1
rauhasanalainen,1
hyötyäon,1
puulaatikollinen,1
kiihkoisänmaallinen,1
ihminen ystävällinen,1
vahingossaeli,-1
tyyliikkäitä,1
tyhmänrohkea,-1
kostoaiheinen,-1
tämäraamatunpaikka,1
eukko paha,-1
winkkaa,1
kauneudellinen,1
primitiivihoikka,1
nettiii,1
liikkenneturvallisuus,1
patakkaa,1
orjatyöläinenmeno,-2
amorion,1
hyvämuodostua,1
viihtii,1
väkivaltanen,-1
hyväkroppaset,1
viittasiniihen,1
viittus,-3
korruptioituneelta,-2
arkkityyppinen,1
extreme tyyppisiin,1
suunnistustyyppinen,1
syväskannaamaan,1
koukkuuntunut,1
liikaamist,1
kiinnostakkaanseh,1
itkintodella,-1
nussikaaa,1
portaataukko,1
hhihiihihih,1
enkkuu,1
mmuummminnaaa,1
niikki,1
kauneinkin,1
kaatopaikkaroskam,1
uuuuuuuuuuuuuuusi,1
vtuttaa,1
orjatyöllinen,-2
rikkaaman,1
palkaamaan,1
idioottipark,-2
viikkoinen,1
punnaamaan,1
vastennmielinen,-1
sosiaaliliberaalinen,1
liikuttmaan,1
saatanallinenuusi,1
vakoillatekniikka,1
aaantiiii,1
maahanmuuttajamyönteinen,1
pahalata,-1
ystäväksein,1
vastaavaahintaluokka,1
tupakkariippuvainen,-1
objektiiviisen,1
viikkosen,1
ihminenoikeuspolitiikka,1
iihanaa,2
vahignossa,-1
perkeleenmoinen,-1
pahapari,-1
iloosemmalle,1
kusettamiltaa,-1
syöpä aiheinen,-1
paniikkimainen,-1
itsemurhaavat,-3
kuusaalta,1
suuripalkkaset,1
iloitaan kaunis,1
seksuaalissävyyteiset,1
hyvänhajuinen,1
asetaa,-1
kaanaan,1
arvokaampaa,1
hakkurityyppinen,1
mädännäinen,-1
kiusalllinen,-1
narsistimainen,-1
pahamainen,-1
kaunispunainen,1
katkeruttaa,-2
parasss,2
surullinenkuuluisa,-1
rekkaamattomien,1
huuhaaseen,1
kaikkii,1
valentino,-1
uhkari,-1
pahhaa,-1
ruukkilainen,1
kerttaa,1
uussinkku,1
kkonerenkaisiin,1
viisumivapaa,1
saaako,1
lama tasoinen,-1
hyväkroppasimmat,1
ilotkaa,1
pakkonaittaa,1
rauhalliseti,1
yeeeeee,1
yeeeee,1
yeeeeeeee,1
jiihaa,1
rauhalisen,1
kiusailet,-1
kkkelöt,1
nicktuuliann,1
lomakäyttön,1
ihailemaassa,1
cardenloistava,1
uutaa,1
huuhaamainen,1
hysssss,1
mätänny,-1
nukattaa,1
hyväl,1
tätäkkii,1
kiiltävätakkinen,1
työttömnä,-1
kakkka,1
